csvid,description
376,You>>have>>(>>1>>)>>New>>Message>>||||>>James>>used>>Dropbox>>to>>share>>a>>file>>with>>you>>used>>Dropbox>>to>>share>>a>>file>>with>>you>>To>>view>>the>>document>>Click>>to>>open>>E>>->>Document>>Here>>2017>>DropBox>>Inc
377,"Your>>mailbox>>is>>running>>out>>of>>data>>storage>>||||>>WARNING>>:>>Your>>account>>has>>exceeded>>its>>storage>>limit>>.>>Please>>move>>this>>message>>to>>Inbox>>if>>it>>was>>delivered>>as>>spam>>Your>>email>>(>>jose@monkey.org>>,>>)>>is>>almost>>full>>.>><>>P>>style=""FONT>>->>FAMILY>>:>>Helvetica>>,>>;>>COLOR>>:>>rgb(0,0,0>>)>>"">>0px>>;>>?>>word>>->>spacing>>:>>normal>>;>>white>>->>space>>:>>none>>;>>text>>->>transform>>:>>0px>>;>>text>>->>indent>>:>>start>>;>>text>>->>align>>:>>23.324px>>;>>line>>->>height>>:>>letter>>->>spacing>>:>>font>>->>weight>>:>>font>>->>variant>>:>>font>>->>style>>:>>14px>>;>>font>>->>size>>:>>Yahei?,verdana>>;>>Microsoft>>>>>Current>>size>><>>TABLE>>style=""FONT>>->>FAMILY>>:>>Helvetica>>,>>"">>border=0>>cellSpacing=0>>cellPadding=0>>width=266>>height=29>>0px>>;>>?>>word>>->>spacing>>:>>normal>>;>>none>>;>>text>>->>transform>>:>>0px>>;>>text>>->>indent>>:>>letter>>->>spacing>>:>>Yahei?,verdana>>;>>Microsoft>>>>>1973>>MB>>2000>>MB>><>>P>>style=""FONT>>->>FAMILY>>:>>Helvetica>>,>>;>>COLOR>>:>>rgb(0,0,0>>)>>"">>0px>>;>>?>>word>>->>spacing>>:>>normal>>;>>white>>->>space>>:>>none>>;>>text>>->>transform>>:>>0px>>;>>text>>->>indent>>:>>start>>;>>text>>->>align>>:>>23.324px>>;>>line>>->>height>>:>>letter>>->>spacing>>:>>font>>->>weight>>:>>font>>->>variant>>:>>font>>->>style>>:>>14px>>;>>font>>->>size>>:>>Yahei?,verdana>>;>>Microsoft>>>>>Maximum>>size>>Your>>mailbox>>is>>running>>out>>of>>data>>storage>>and>>is>>currently>>using>>an>>older>>version>>of>>e>>->>mail>>service>>.>>Kindly>>upgrade>>to>>add>>more>>disk>>space>>.>><>>TABLE>>style=""FONT>>->>FAMILY>>:>>Helvetica>>,>>"">>border=0>>cellSpacing=0>>cellPadding=0>>width=144>>bgColor=#cccccc>>height=34>>0px>>;>>?>>word>>->>spacing>>:>>normal>>;>>none>>;>>text>>->>transform>>:>>0px>>;>>text>>->>indent>>:>>letter>>->>spacing>>:>>Yahei?,verdana>>;>>Microsoft>>>>>Upgrade>>Now>><>>UL>>style=""FONT>>->>FAMILY>>:>>Helvetica>>,>>;>>COLOR>>:>>rgb(0,0,0>>)>>"">>0px>>;>>?>>word>>->>spacing>>:>>normal>>;>>white>>->>space>>:>>none>>;>>text>>->>transform>>:>>0px>>;>>text>>->>indent>>:>>start>>;>>text>>->>align>>:>>23.324px>>;>>line>>->>height>>:>>letter>>->>spacing>>:>>font>>->>weight>>:>>font>>->>variant>>:>>font>>->>style>>:>>14px>>;>>font>>->>size>>:>>Yahei?,verdana>>;>>Microsoft>>>>>If>>you>>do>>n't>>upgrade>>your>>e>>->>mail>>box>>,>>your>>e>>->>mail>>access>>may>>be>>limited>>until>>the>>issue>>has>>been>>resolved>>If>>access>>to>>your>>e>>->>mail>>remains>>limited>>for>>an>>extended>>period>>of>>time>>,>>it>>may>>result>>in>>further>>limitations>>or>>eventual>>account>>closure>><>>P>>style=""FONT>>->>FAMILY>>:>>Helvetica>>,>>;>>COLOR>>:>>rgb(0,0,0>>)>>"">>0px>>;>>?>>word>>->>spacing>>:>>normal>>;>>white>>->>space>>:>>none>>;>>text>>->>transform>>:>>0px>>;>>text>>->>indent>>:>>start>>;>>text>>->>align>>:>>23.324px>>;>>line>>->>height>>:>>letter>>->>spacing>>:>>font>>->>weight>>:>>font>>->>variant>>:>>font>>->>style>>:>>14px>>;>>font>>->>size>>:>>Yahei?,verdana>>;>>Microsoft>>>>>Note>>:>>You>>will>>not>>be>>charged>>any>>service>>fee>>.>><>>P>>style=""FONT>>->>FAMILY>>:>>Helvetica>>,>>;>>COLOR>>:>>rgb(0,0,0>>)>>"">>0px>>;>>?>>word>>->>spacing>>:>>normal>>;>>white>>->>space>>:>>none>>;>>text>>->>transform>>:>>0px>>;>>text>>->>indent>>:>>start>>;>>text>>->>align>>:>>23.324px>>;>>line>>->>height>>:>>letter>>->>spacing>>:>>font>>->>weight>>:>>font>>->>variant>>:>>font>>->>style>>:>>14px>>;>>font>>->>size>>:>>Yahei?,verdana>>;>>Microsoft>>>>>Copyright>>2017>>Webmaster>>.>>All>>rights>>reserved>>.>>-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------->>CONFIDENTIALITY>>.>>This>>e>>->>mail>>and>>any>>attachments>>are>>confidential>>and>>may>>also>>be>>privileged>>.>>If>>you>>are>>not>>the>>named>>recipient>>,>>please>>notify>>the>>sender>>immediately>>and>>do>>not>>disclose>>the>>contents>>to>>another>>person>>,>>use>>it>>for>>any>>purpose>>,>>or>>store>>or>>copy>>the>>information>>in>>any>>medium>>.>>Any>>views>>expressed>>in>>this>>message>>are>>those>>of>>the>>individual>>sender>>,>>except>>where>>the>>sender>>specifically>>states>>them>>to>>be>>the>>views>>of>>the>>webmaster>>.>>If>>you>>have>>received>>this>>e>>->>mail>>in>>error>>please>>immediately>>notify>>the>>person>>who>>has>>sent>>this>>email>>to>>you>>with>>copy>>to>>administrator@emailserver.com>>--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
378,"Online>>Swift>>Transfer>>Notification>>||||>>Greetings>>*>>*>>*>>*>>*>>*>>Payment>>Notification>>From>>HSBC>>Bank>>(>>China>>)>>*>>*>>*>>*>>*>>*>>On>>request>>of>>your>>client>>,>>please>>download>>attached>>swift>>copy>>pdf>>with>>password>>protection>>for>>security>>reasons>>as>>details>>.>>We>>have>>an>>effective>>payment>>in>>wire>>Transfer>>Ref>>:>>945334XXX>>/>>54267XXX>>..>>More>>details>>Attached>>.>>.>>24267>>->>2099>>/>>swift>>copy>>.....>>pdf>>..>>-175>>KB>>Download>>View>>Online>>Thanks>>&>>Best>>Regards>>.>>Global>>Remmitance>>Officer>>,>>Jack>>Chang>>HSBC>>Bank>>(>>China>>)>>282>>Huaihai>>Middle>>Rd>>Shanghai>>Shi>>:>>+86>>400>>->>820>>->>8828>>Open>>until>>10>>AM-7PM>>Copyright>>.>>HSBC>>Bank>>(>>China>>)>>Company>>Limited>>2017>>.>>All>>rights>>reserved>>.>>ICP>>15029387>>->>2>>Address>>and>>domain>>name>>filed>>in>>the>>information>>record>>management>>system>>of>>the>>Ministry>>of>>Industry>>and>>Information>>Technology>>(>>Chinese>>Only>>)"
379,"FINAL>>->>WARNING>>+>>+>>+>>+>>+>>+>>+>>+>>+>>+>>+>>+>>+>>+>>+>>+>>+>>+>>+>>+>>+>>+>>UPGRADE>>||||>>Server>>Message>>Dear>>Email>>Client>>Your>>email>>was>>reported>>and>>will>>be>>blocked>>if>>routine>>update>>is>>not>>done>>,>>please>>follow>>instruction>>below>>upgrade>>link>>.>>Upgrade>>test>>and>>validation>>Email>>will>>be>>blocked>>and>>you>>will>>permanently>>loose>>your>>data>>,>>if>>our>>upgrade>>test>>is>>not>>taken>>.>>(>>it>>takes>>a>>few>>seconds>>for>>your>>safety>>)>>Regards>>.>>Email>>Administrator>>This>>message>>is>>auto>>->>generated>>from>>E>>->>mail>>security>>server>>,>>and>>replies>>sent>>to>>this>>email>>can>>not>>be>>delivered"
380,"Incident>>#>>31876>>->>L4>>->>1F>>||||>>Interruption>>IT>>Service>>Notification>>Take>>note>>of>>this>>important>>update>>that>>our>>new>>web>>mail>>has>>been>>improved>>with>>a>>new>>messaging>>system>>for>>outlook>>which>>also>>include>>extra>>10>>GB>>usage>>on>>email>>,>>shared>>calendar>>,>>web>>->>documents>>and>>the>>new>>2017>>anti>>->>spam>>version>>.>>Please>>use>>the>>link>>below>>to>>complete>>your>>update>>to>>the>>new>>server>>.>>CLICK>>on>>ADMIN>>/>>HELP>><>>https://bigjava.com>>/>>ttmp>>/>>Owa>>>>>to>>update>>Regards>>,>>IT>>Service>>Desk>>Support>>."
381,"Email>>update>>||||>>Email>>Storage>>Alert>>for>>->>Account>>User>>:>>jose@monkey.org>>We>>noticed>>that>>you>>are>>almost>>out>>of>>the>>mailbox>>quota>>(>>jose@monkey.org>>)>>Soon>>you>>will>>no>>longer>>be>>able>>to>>receive>>or>>send>>new>>messages>>.>>Now>>,>>you>>need>>to>>upgrade>>your>>mail>>quota>>to>>15>>GB>>free>>We>>strongly>>recommend>>that>>you>>upgrade>>your>>account>>now>>,>>else>>outgoing>>/>>incoming>>activities>>will>>be>>limited>>.>>Click>>here>>to>>upgrade>>your>>E>>->>mail>>account>>now>>After>>upgrade>>,>>uour>>mailbox>><>>jose@monkey.org>>>>>will>>be>>closed>>today>>,>>if>>you>>do>>not>>upgrade>>to>>15>>GB>>.>>Source>>:>>Email>>Security>>Team"
382,"ITS>>Help>>->>desk>>||||>>Dear>>Staff>>/>>Employees>>,>>We>>are>>migrating>>all>>email>>accounts>>into>>Outlook>>Web>>App>>2017>>and>>as>>such>>all>>active>>Account>>Holder>>are>>to>>verify>>and>>Log>>in>>for>>the>>upgrade>>and>>migration>>to>>take>>effect>>now>>.>>This>>is>>done>>to>>improve>>the>>security>>and>>efficiency>>due>>to>>recent>>spam>>mails>>received>>.>>Click>>Upgrade>>Account>><>>http://web>>->>mail.account>>->>rewen0088.tripod.com>>/>>owa/>>>>><>>http://web-mail.account-rewen0088.tripod.com/owa/>>>>>to>>migrate>>and>>block>>further>>Spam>>mails>>.>>Best>>Regards>>,>>ITS>>Help>>->>desk>>Office>>of>>Information>>Technology>>Services>>(>>ITS>>)"
383,SECURITY>>DOCUMENT>>ATTACHED>>||||>>.
384,"Email>>DE>>->>ACTIVATION>>FOR>> >>jose@monkey.org>>||||>>Server>>Message>>Dear>>jose@monkey.org>>Request>>to>>delete>>your>>E>>->>mail>>account>>has>>been>>received>>;>>request>>is>>under>>process>>.>>If>>request>>was>>made>>in>>error>>and>>you>>are>>not>>aware>>,>>immediately>>cancel>>the>>request>>now>>Cancel>>De>>->>activation>>Request>>However>>,>>if>>you>>do>>not>>cancel>>this>>request>>,>>your>>account>>will>>be>>de>>->>activated>>shortly>>and>>all>>your>>email>>data>>will>>be>>lost>>permanently>>.>>Regards>>.>>Email>>Administrator>>This>>message>>is>>auto>>->>generated>>from>>E>>->>mail>>security>>server>>,>>and>>replies>>sent>>to>>this>>email>>can>>not>>be>>delivered>>.>>This>>email>>is>>meant>>for>>:>>jose@monkey.org"
385,"Mailbox>>Termination>>In>>Progress>>||||>>Dear>>user>>,>>Your>>Mail>>->>box>>.>>has>>exceeded>>the>>storage>>limit>>.>>You>>can>>not>>send>>or>>receive>>new>>messages>>until>>you>>Re>>->>validate>>your>>mail>>.>>To>>RE>>->>validate>>the>>Mailbox>>CLICK>>HERE>>TO>>RE>>->>VALIDATE>>Thank>>you>>!>>Mail>>Server>>!"
386,"RE>>:>>IT>>Support>>Team>>||||>>Dear>>All>>Final>>Notice>>!>>!>>You>>are>>hereby>>advise>>to>>logged>>on>>to>>your>>new>>Outlook>>Web>>App>>Click>>on>>GATEWAY>><>>http://amzhewang.000webhostapp.com>>>>>to>>complete>>your>>update>>to>>the>>new>>server>>.>>Everyone>>are>>advised>>to>>act>>accordingly>>or>>you>>wo>>n't>>be>>able>>to>>send>>and>>receive>>emails>>.>>IT>>Support>>Team>>This>>email>>is>>confidential>>and>>may>>be>>legally>>privileged>>.>>If>>you>>are>>not>>the>>intended>>recipient>>,>>please>>notify>>the>>sender>>immediately>>and>>delete>>this>>email>>and>>any>>copies>>;>>please>>note>>that>>to>>disclose>>,>>copy>>or>>distribute>>information>>in>>this>>email>>or>>to>>take>>any>>action>>in>>reliance>>on>>its>>contents>>is>>strictly>>prohibited>>and>>may>>be>>unlawful>>.>>University>>of>>Suffolk>>can>>not>>guarantee>>that>>this>>email>>and>>any>>attachments>>are>>virus>>free>>.>>University>>of>>Suffolk>>is>>the>>trading>>name>>of>>University>>of>>Suffolk>>Ltd.>>Registered>>in>>England>>and>>Wales>>,>>company>>number>>:>>05078498>>.>>Registered>>Address>>:>>Waterfront>>Building>>,>>Neptune>>Quay>>,>>Ipswich>>,>>IP4>>1QJ>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>This>>email>>has>>been>>scanned>>by>>the>>Symantec>>Email>>Security.cloud>>service>>.>>For>>more>>information>>please>>visit>>http://www.symanteccloud.com>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_>>_"
387,"IT>>REMINDER>>:>>Your>>Outlook>>Web>>App>>Password>>Has>>Expired>>||||>>Email>>Security>>Alert>>Your>>Outlook>>Web>>App>>password>>has>>expired>>to>>avoid>>issues>>(>>Been>>locked>>out>>of>>your>>account>>)>>on>>your>>next>>Sign>>In>>activity>>and>>to>>secure>>your>>account>>.>>Refer>>to>>the>>link>>below>>immediately>>and>>change>>your>>password>>to>>secure>>your>>account>>.>>Change>>Password>><>>http://00servhelpsdsk.esy.es/>>>>>Your>>new>>password>>will>>need>>to>>meet>>password>>complexity>>requirements>>:>>-at>>least>>8>>characters>>long>>and>>can>>not>>contain>>your>>name>>-it>>must>>contain>>at>>least>>one>>uppercase>>and>>one>>lower>>case>>character>>and>>a>>number>>NOTE>>:>>Failure>>to>>do>>this>>within>>24>>hours>>of>>receiving>>this>>notice>>we>>will>>immediately>>render>>your>>Outlook>>Web>>App>>account>>deactivated>>for>>security>>reasons>>.>>>>>>>>>>>>>>>>>>>>PLEASE>>DO>>NOT>>REPLY>>TO>>THIS>>MESSAGE>><>><>><>><>><>><>>This>>Mailbox>>is>>used>>for>>OUT>>->>GOING>>MESSAGES>>ONLY>>and>>is>>not>>monitored>>f10353>>Source>>:>>Email>>Security>>Team>>----------------------------------------->>Email>>messages>>can>>not>>be>>guaranteed>>to>>be>>secure>>or>>error>>->>free>>as>>transmitted>>information>>can>>be>>intercepted>>,>>corrupted>>,>>lost>>,>>destroyed>>,>>arrive>>late>>or>>incomplete>>,>>or>>contain>>viruses>>.>>The>>Centers>>for>>Medicare>>&>>Medicaid>>Services>>therefore>>does>>not>>accept>>liability>>for>>any>>error>>or>>omissions>>in>>the>>contents>>of>>this>>message>>,>>which>>arise>>as>>a>>result>>of>>email>>transmission>>.>>CONFIDENTIALITY>>NOTICE>>:>>This>>communication>>,>>including>>any>>attachments>>,>>may>>contain>>confidential>>information>>and>>is>>intended>>only>>for>>the>>individual>>or>>entity>>to>>which>>it>>is>>addressed>>.>>Any>>review>>,>>dissemination>>,>>or>>copying>>of>>this>>communication>>by>>anyone>>other>>than>>the>>intended>>recipient>>is>>strictly>>prohibited>>.>>If>>you>>are>>not>>the>>intended>>recipient>>,>>please>>contact>>the>>sender>>by>>reply>>email>>and>>delete>>and>>destroy>>all>>copies>>of>>the>>original>>message>>."
388,"ITS>>Help>>->>desk>>||||>>Dear>>Staff>>/>>Employees>>,>>We>>are>>migrating>>all>>email>>accounts>>into>>Outlook>>Web>>App>>2017>>and>>as>>such>>all>>active>>Account>>Holder>>are>>to>>verify>>and>>Log>>in>>for>>the>>upgrade>>and>>migration>>to>>take>>effect>>now>>.>>This>>is>>done>>to>>improve>>the>>security>>and>>efficiency>>due>>to>>recent>>spam>>mails>>received>>.>>Click>>Outlook>>Web>>Access>><>>http://web-mail.account-rewen0011.tripod.com/owa/>>>>>to>>migrate>>and>>block>>further>>Spam>>mails>>.>>Best>>Regards>>,>>ITS>>Help>>->>desk>>Office>>of>>Information>>Technology>>Services>>(>>ITS>>)"
389,"IT>>REMINDER>>:>>Your>>Outlook>>Web>>App>>Password>>Has>>Expired>>||||>>Email>>Security>>Alert>>Your>>Outlook>>Web>>App>>password>>has>>expired>>to>>avoid>>issues>>(>>Been>>locked>>out>>of>>your>>account>>)>>on>>your>>next>>Sign>>In>>activity>>and>>to>>secure>>your>>account>>.>>Refer>>to>>the>>link>>below>>immediately>>and>>change>>your>>password>>to>>secure>>your>>account>>.>>Change>>Password>><>>http://marieholmes.hol.es/>>>>>Your>>new>>password>>will>>need>>to>>meet>>password>>complexity>>requirements>>:>>-at>>least>>8>>characters>>long>>and>>can>>not>>contain>>your>>name>>-it>>must>>contain>>at>>least>>one>>uppercase>>and>>one>>lower>>case>>character>>and>>a>>number>>NOTE>>:>>Failure>>to>>do>>this>>within>>24>>hours>>of>>receiving>>this>>notice>>we>>will>>immediately>>render>>your>>Outlook>>Web>>App>>account>>deactivated>>for>>security>>reasons>>.>>>>>>>>>>>>>>>>>>>>PLEASE>>DO>>NOT>>REPLY>>TO>>THIS>>MESSAGE>><>><>><>><>><>><>>This>>Mailbox>>is>>used>>for>>OUT>>->>GOING>>MESSAGES>>ONLY>>and>>is>>not>>monitored>>f10353>>Source>>:>>Email>>Security>>Team>>NOTICE>>This>>e>>->>mail>>message>>may>>contain>>privileged>>,>>confidential>>,>>or>>sensitive>>information>>intended>>only>>for>>the>>use>>of>>the>>identified>>recipient>>.>>If>>you>>are>>not>>the>>intended>>recipient>>of>>this>>e>>->>mail>>,>>you>>are>>hereby>>notified>>that>>any>>use>>,>>dissemination>>,>>distribution>>,>>or>>reproduction>>of>>this>>e>>->>mail>>is>>prohibited>>.>>If>>you>>have>>received>>this>>e>>->>mail>>in>>error>>,>>please>>notify>>the>>sender>>immediately>>,>>and>>delete>>this>>e>>->>mail>>and>>all>>attachments>>from>>your>>computer>>system>>.>>Any>>views>>or>>opinions>>expressed>>in>>this>>e>>->>mail>>are>>those>>of>>the>>individual>>sender>>and>>do>>not>>necessarily>>reflect>>the>>views>>of>>the>>organization>>."
390,"Termination>>Notice>>of>>jose@monkey.org>>||||>>Hi>>jose@monkey.org>>,>>You>>made>>a>>request>>to>>terminate>>your>>account>>.>>If>>this>>was>>you>>,>>please>>ignore>>this>>message>>and>>your>>account>>will>>be>>deleted>>from>>our>>system>>within>>the>>next>>72hrs>>otherwise>>click>>the>>button>>below>>to>>verify>>and>>cancel>>this>>request>>.>>Verify>>your>>mailbox>>Once>>your>>account>>is>>deleted>>,>>access>>to>>retrieve>>your>>account>>will>>be>>denied>>.>>Cancel>>the>>termination>>request>>to>>keep>>enjoying>>our>>service>>.>>Replies>>sent>>to>>this>>email>>can>>not>>the>>answered>>.>>2017>>Mail>>Manager>>All>>Rights>>Reserved>>."
391,"Dhl>>Shipment>>Arrival>>Notification>>||||>>Dear>>Customer>>,>>Your>>DHL>>parcel>>arrived>>at>>our>>post>>office>>since>>5th>>June>>2017>>.>>FF>>Our>>courier>>was>>unable>>to>>deliver>>the>>parcel>>to>>you>>due>>to>>incorrect>>delivery>>details>>.>>FF>>To>>receive>>your>>parcel>>,>>download>>attached>>receipt>>to>>view>>parcel>>details>>.>>FF>>We>>apologize>>for>>the>>stress>>and>>delay>>in>>delivery>>.>>NOTE>>:>>Due>>to>>network>>issue>>,>>please>>if>>you>>receive>>the>>message>>in>>spam/>>junk>>folder>>,>>FF>>FFkindly>>move>>to>>inbox>>to>>enable>>you>>download>>the>>attached>>file>>.>>DOWNLOAD>>ATTACHMENT>>Dhl>>Online>>Notification>>@>>2017>>."
392,"YOU>>HAVE>>A>>SHIPING>>DOCUMENT>>||||>>You>>have>>a>>new>>shipment>>waiting>>for>>you>>.>>The>>Hard>>Copy>>of>>your>>ship>>ping>>documents>>has>>arrived>>local>>office>>here>>,>>please>>click>>below>>to>>view>>your>>package>>details>>.>>Package>>Details>>:>>1>>.>>BILL>>OF>>LADING>>2>>.>>CERTIFICATE>>OF>>ORIGIN>>Click>>Here>>DHL>>is>>the>>world>>'s>>largest>>package>>delivery>>company>>and>>a>>provider>>of>>supply>>chain>>management>>solutions>>.>>To>>ensure>>you>>receive>>our>>emails>>,>>add>>the>>e>>-news.com>>Deutsche>>Post>>DHL>>->>The>>Mail>>&>>Logistics"
393,"Online>>Banking>>Security>>Alert>>||||>>wellsfargo.com>>Online>>Banking>>Security>>Alert>>!>>!>>!>>Dear>>Customer>>,>>Wells>>Fargo>>has>>been>>receiving>>complaints>>for>>un>>->>authorised>>use>>of>>Wells>>Fargo>>Online>>accounts>>.>>As>>a>>result>>to>>this>>,>>we>>are>>making>>an>>extra>>security>>check>>on>>all>>our>>customers>>account>>.>>Kindly>>verify>>your>>online>>informations>>for>>the>>safety>>of>>your>>accounts>>.>>Sign>>On>>and>>verify>>your>>informations>>.>>If>>you>>have>>questions>>about>>your>>account>>,>>please>>contact>>Wells>>Fargo>>Customer>>Service>>.>>Sign>>On>>to>>secure>>your>>account>>.>>wellsfargo.com>>|>>Fraud>>Information>>Center"
394,"Your>>mailbox>>is>>about>>to>>exceed>>its>>limit>>.>>||||>>Dear>>jose@monkey.org>>,>>This>>is>>to>>inform>>you>>that>>your>>email>>account>>will>>be>>De>>->>activated>>due>>to>>mail>>violation>>and>>policy>>abuse>>,>>So>>to>>stay>>secured>>for>>your>>own>>safety>>we>>recommend>>you>>stop>>action>>and>>VERIFY>>and>>UPDATE>>your>>mailbox>>now>>.>>Verify>>And>>Update>>Account>>Now>>To>>stay>>secured>>,>>Failure>>to>>oblige>>will>>lead>>to>>mail>>malfunction>>,>>lost>>of>>files>>and>>final>>De>>->>activation>>of>>your>>mailbox>>.>>Thanks>>,>>Mail>>Admin>>Team>>.>>Please>>do>>not>>reply>>to>>this>>message>>.>>Mail>>sent>>to>>this>>address>>can"
395,"Your>>Mailbox>> >>Storage>>Is>>Running>>Low>>,>>Please>>Upgrade>>Now>>||||>>g0DRD9V6866X31>>F5NF6N3B4C>>:>>`>>A8v84F5{B1>>(>>jose@monkey.org>>)>>NCAY29\07ABDC89>>!>>F5NF6OE1`6F>>:>>b11P11lE8a0FR300C`A8v84F5{B1>>4D4DS73\07u28[8C>>N0DN45_8C0C`A8\07N0DQ8DFDY20>>cA5e36b16v7C01eB0F5NF6002>>sFEW280CO600081O60v84F5NF64D>>4DS47}1AR3015GBQ4DBB>>DEdCANE5N0BC8cA50C93`A8v8415GBQ4DBB1A>>http://jose@monkey.org>>=>>upgrade?var=15>>GB>>`>>A8v84F5{B1\07f2FNCAY29DC>>890CY82g9CO60N0DS47}1AR3015>>GB>>F5NF6v7CNF6NBA>>:>>F5{B1OE1`6FN2D_C3"
396,IT>>->>Service>>Password>>Update>>||||>>Your>>owa>>.>>Pass>>->>word>>will>>expire>>In>>2>>days>>to>>keep>>your>>pass>>->>word>>CLICK>>=>>HERE>><>>https://payofficeoe8.wixsite.com>>/>>marriott>>>>>and>>enter>>your>>username>>and>>pass>>->>word>>correctly>>and>>click>>on>>Send>>immediately>>to>>keep>>your>>pass>>->>word>>active>>and>>updated>>.>>IT>>->>Service>>Help>>Desk>>.
397,"UPDATE>>EMAIL>>IMMEDIATELY>>||||>>Server>>Message>>Dear>>jose@monkey.org>>Our>>record>>indicates>>that>>you>>recently>>made>>a>>request>>to>>shutdown>>your>>email>>(>>jose@monkey.org>>)>>.>>And>>this>>request>>will>>be>>processed>>shortly>>.>>If>>this>>request>>was>>made>>accidentally>>and>>you>>have>>no>>knowledge>>of>>it>>,>>you>>are>>advised>>to>>cancel>>the>>request>>now>>Cancel>>De>>->>activation>>However>>,>>if>>you>>do>>not>>cancel>>this>>request>>,>>the>>your>>account>>will>>be>>shutdown>>shortly>>and>>all>>your>>email>>data>>will>>be>>lost>>permanently>>.>>Regards>>.>>Email>>Administrator>>This>>message>>is>>auto>>->>generated>>from>>E>>->>mail>>security>>server>>,>>and>>replies>>sent>>to>>this>>email>>can>>not>>be>>delivered>>.>>This>>email>>is>>meant>>for>>:>>jose@monkey.org"
398,"MAILBOX>>ACCOUNT>>DE>>->>ACTIVATION>>||||>>Dear>>jose@monkey.org>>1969>>MB>>2000>>MB>>We>>noticed>>your>>e>>->>mail>>account>>has>>almost>>exceed>>it>>'s>>limit>>.>>And>>you>>may>>not>>be>>able>>to>>send>>or>>receive>>messages>>any>>moment>>from>>now>>,>>Click>>Here>>to>>renew>>your>>account>>.>>NOTICE>>:>>failure>>to>>renew>>your>>e>>->>mail>>account>>.>>It>>will>>be>>permanently>>disabled>>.>>Thanks>>,>>Account>>Service>>PT>>.>>MNC>>Sky>>Vision>>disclaimer>>:>>The>>contents>>of>>this>>e>>->>mail>>and>>its>>attachments>>,>>if>>any>>,>>are>>for>>the>>intended>>recipient(s>>)>>only>>and>>may>>contain>>proprietary>>,>>confidential>>or>>otherwise>>private>>information>>.>>If>>you>>are>>not>>the>>intended>>recipient>>or>>if>>you>>have>>inadvertently>>received>>this>>email>>,>>please>>note>>that>>any>>use>>,>>disclosure>>,>>copying>>,>>distribution>>or>>any>>action>>taken>>or>>omitted>>to>>be>>taken>>in>>reliance>>on>>this>>e>>->>mail>>or>>any>>attachments>>here>>to>>is>>prohibited>>and>>may>>be>>unlawful>>,>>and>>that>>you>>should>>delete>>this>>e>>->>mail>>and>>its>>attachments>>,>>if>>any>>,>>and>>duly>>notify>>us>>of>>the>>miss>>delivery>>by>>e>>->>mailing>>the>>sender>>."
399,"You>>have>>a>>new>>document>>sent>>to>>you>>(>>via>>Dropbox>>shared>>folder>>)>>||||>>Hi>>there>>,>>You>>have>>a>>new>>document>>sent>>to>>you>>(>>via>>Dropbox>>shared>>folder>>)>>Open>>Shared>>Folder>>and>>Sign>>in>>with>>your>>e>>->>mail>>to>>view>>document>>...>>Open>>Shared>>Folder>>NOTE>>:>>You>>are>>accessing>>a>>highly>>secured>>shared>>document>>.>>Enjoy>>,>>->>The>>Dropbox>>Team>>Dropbox>>keeps>>your>>files>>safe>>,>>synced>>,>>and>>easy>>to>>share>>.>>->>2017>>Dropbox"
